capture_id,hand_index,handedness,gesture,landmark_idx,x_norm,y_norm,z_norm,x_pixel,y_pixel,depth_meters,x_meters,y_meters,z_meters
3,0,Right,OPEN HAND THUMB UP,1,0.541463315486908,0.7058709859848022,-0.014570173807442188,346,338,0.878000020980835,0.05862876772880554,0.22340171039104462,0.878000020980835
3,0,Right,OPEN HAND THUMB UP,2,0.5162402391433716,0.6824875473976135,-0.019113246351480484,330,327,0.8660000562667847,0.02198224514722824,0.19570478796958923,0.8660000562667847
3,0,Right,OPEN HAND THUMB UP,3,0.49087029695510864,0.6722770929336548,-0.02282298542559147,314,322,0.8670000433921814,-0.01387898437678814,0.18471620976924896,0.8670000433921814
3,0,Right,OPEN HAND THUMB UP,4,0.47191691398620605,0.6607636213302612,-0.026156974956393242,302,317,0.8670000433921814,-0.04079394415020943,0.1735016405582428,0.8670000433921814
3,0,Right,OPEN HAND THUMB UP,5,0.4763111174106598,0.7138394713401794,-0.00542069086804986,304,342,0.8870000243186951,-0.03714567422866821,0.2348703145980835,0.8870000243186951
3,0,Right,OPEN HAND THUMB UP,6,0.4432332217693329,0.7046123147010803,-0.012288940139114857,283,338,0.8890000581741333,-0.08552579581737518,0.22620059549808502,0.8890000581741333
3,0,Right,OPEN HAND THUMB UP,7,0.42345523834228516,0.703852653503418,-0.01971561461687088,271,337,0.8880000710487366,-0.11299647390842438,0.22364890575408936,0.8880000710487366
3,0,Right,OPEN HAND THUMB UP,8,0.40531590580940247,0.705302894115448,-0.025866791605949402,259,338,0.893000066280365,-0.14135481417179108,0.2272183746099472,0.893000066280365
3,0,Right,OPEN HAND THUMB UP,9,0.4728187620639801,0.741252064704895,-0.004185947123914957,302,355,0.8830000162124634,-0.0415467731654644,0.26350709795951843,0.8830000162124634
3,0,Right,OPEN HAND THUMB UP,10,0.43859079480171204,0.7433019876480103,-0.011052485555410385,280,356,0.8910000324249268,-0.0926332101225853,0.26819950342178345,0.8910000324249268
3,0,Right,OPEN HAND THUMB UP,11,0.4172317683696747,0.7485887408256531,-0.019302887842059135,267,359,0.8920000195503235,-0.12273582071065903,0.2754232585430145,0.8920000195503235
3,0,Right,OPEN HAND THUMB UP,12,0.39882564544677734,0.7540513277053833,-0.02580474689602852,255,361,0.8920000195503235,-0.15042687952518463,0.280038446187973,0.8920000195503235
3,0,Right,OPEN HAND THUMB UP,13,0.47692906856536865,0.7665818929672241,-0.005121192894876003,305,367,0.8830000162124634,-0.03469385579228401,0.29091876745224,0.8830000162124634
3,0,Right,OPEN HAND THUMB UP,14,0.4442472755908966,0.7776429653167725,-0.013029261492192745,284,373,0.8960000276565552,-0.08388128876686096,0.3091094493865967,0.8960000276565552
3,0,Right,OPEN HAND THUMB UP,15,0.4243689477443695,0.7849680781364441,-0.019903698936104774,271,376,0.8910000324249268,-0.11337821185588837,0.3142995238304138,0.8910000324249268
3,0,Right,OPEN HAND THUMB UP,16,0.4081141948699951,0.7909424304962158,-0.02483699843287468,261,379,0.8940000534057617,-0.1368875801563263,0.32229605317115784,0.8940000534057617
3,0,Right,OPEN HAND THUMB UP,17,0.487139493227005,0.7895994186401367,-0.007602676283568144,311,379,0.8850000500679016,-0.021035566926002502,0.31905147433280945,0.8850000500679016
3,0,Right,OPEN HAND THUMB UP,18,0.46280160546302795,0.806094229221344,-0.01564706489443779,296,386,0.8960000276565552,-0.05606606602668762,0.3392426073551178,0.8960000276565552
3,0,Right,OPEN HAND THUMB UP,19,0.446164071559906,0.8145620226860046,-0.02033349499106407,285,390,0.9000000357627869,-0.08192747831344604,0.35007020831108093,0.9000000357627869
3,0,Right,OPEN HAND THUMB UP,20,0.43144533038139343,0.8194081783294678,-0.023293808102607727,276,393,0.909000039100647,-0.10391085594892502,0.36062565445899963,0.909000039100647
4,0,Right,OPEN HAND THUMB UP,0,0.5406466722488403,0.7344430088996887,6.709209543487304e-08,346,352,1.190000057220459,0.0794626846909523,0.34588733315467834,1.190000057220459
4,0,Right,OPEN HAND THUMB UP,1,0.526613712310791,0.7030117511749268,-0.010738157667219639,337,337,1.1810001134872437,0.051364678889513016,0.2974429726600647,1.1810001134872437
4,0,Right,OPEN HAND THUMB UP,2,0.5060744881629944,0.6832683682441711,-0.013277820311486721,323,327,1.1720000505447388,0.008526043966412544,0.26485684514045715,1.1720000505447388
4,0,Right,OPEN HAND THUMB UP,3,0.48673558235168457,0.6735999584197998,-0.015195881947875023,311,323,1.1680001020431519,-0.027762195095419884,0.25186651945114136,1.1680001020431519
